100 460
1 1 0.400000000e+01
1 2 -0.100000000e+01
1 11 -0.100000000e+01
2 1 -0.100000000e+01
2 2 0.400000000e+01
2 3 -0.100000000e+01
2 12 -0.100000000e+01
3 2 -0.100000000e+01
3 3 0.400000000e+01
3 4 -0.100000000e+01
3 13 -0.100000000e+01
4 3 -0.100000000e+01
4 4 0.400000000e+01
4 5 -0.100000000e+01
4 14 -0.100000000e+01
5 4 -0.100000000e+01
5 5 0.400000000e+01
5 6 -0.100000000e+01
5 15 -0.100000000e+01
6 5 -0.100000000e+01
6 6 0.400000000e+01
6 7 -0.100000000e+01
6 16 -0.100000000e+01
7 6 -0.100000000e+01
7 7 0.400000000e+01
7 8 -0.100000000e+01
7 17 -0.100000000e+01
8 7 -0.100000000e+01
8 8 0.400000000e+01
8 9 -0.100000000e+01
8 18 -0.100000000e+01
9 8 -0.100000000e+01
9 9 0.400000000e+01
9 10 -0.100000000e+01
9 19 -0.100000000e+01
10 9 -0.100000000e+01
10 10 0.400000000e+01
10 20 -0.100000000e+01
11 1 -0.100000000e+01
11 11 0.400000000e+01
11 12 -0.100000000e+01
11 21 -0.100000000e+01
12 2 -0.100000000e+01
12 11 -0.100000000e+01
12 12 0.400000000e+01
12 13 -0.100000000e+01
12 22 -0.100000000e+01
13 3 -0.100000000e+01
13 12 -0.100000000e+01
13 13 0.400000000e+01
13 14 -0.100000000e+01
13 23 -0.100000000e+01
14 4 -0.100000000e+01
14 13 -0.100000000e+01
14 14 0.400000000e+01
14 15 -0.100000000e+01
14 24 -0.100000000e+01
15 5 -0.100000000e+01
15 14 -0.100000000e+01
15 15 0.400000000e+01
15 16 -0.100000000e+01
15 25 -0.100000000e+01
16 6 -0.100000000e+01
16 15 -0.100000000e+01
16 16 0.400000000e+01
16 17 -0.100000000e+01
16 26 -0.100000000e+01
17 7 -0.100000000e+01
17 16 -0.100000000e+01
17 17 0.400000000e+01
17 18 -0.100000000e+01
17 27 -0.100000000e+01
18 8 -0.100000000e+01
18 17 -0.100000000e+01
18 18 0.400000000e+01
18 19 -0.100000000e+01
18 28 -0.100000000e+01
19 9 -0.100000000e+01
19 18 -0.100000000e+01
19 19 0.400000000e+01
19 20 -0.100000000e+01
19 29 -0.100000000e+01
20 10 -0.100000000e+01
20 19 -0.100000000e+01
20 20 0.400000000e+01
20 30 -0.100000000e+01
21 11 -0.100000000e+01
21 21 0.400000000e+01
21 22 -0.100000000e+01
21 31 -0.100000000e+01
22 12 -0.100000000e+01
22 21 -0.100000000e+01
22 22 0.400000000e+01
22 23 -0.100000000e+01
22 32 -0.100000000e+01
23 13 -0.100000000e+01
23 22 -0.100000000e+01
23 23 0.400000000e+01
